recommender,prolificPID,recID,movieTitle,shouldWatch,order,sentence,classification
gpt-3.5-turbo,60dc9556508486e19fc42546,0,Ocean's Eleven,TRUE,2,"The Italian Job, one of the favorite movies mentioned, is also a heist movie, so there is a good chance that the person will enjoy Ocean's Eleven.",Sim
gpt-3.5-turbo,60dc9556508486e19fc42546,0,Ocean's Eleven,TRUE,3,"Additionally, The Big Short, another favorite movie, has a similar fast-paced and witty dialogue that can be found in Ocean's Eleven.",Sim
gpt-3.5-turbo,60dc9556508486e19fc42546,0,Ocean's Eleven,TRUE,4,"Overall, if the person is looking for an entertaining and thrilling movie with a great cast and a clever plot, Ocean's Eleven is definitely worth watching.",Ev
random-imdb,60dc9556508486e19fc42546,1,"Monsters, Inc.",TRUE,0,"Monsters, Inc. is a heartwarming and entertaining animated movie that is perfect for all ages.",NA
random-imdb,60dc9556508486e19fc42546,1,"Monsters, Inc.",TRUE,1,"The film follows the story of two monsters, Sulley and Mike, who work at a company that collects children's screams to power their city.",NA
random-imdb,60dc9556508486e19fc42546,1,"Monsters, Inc.",TRUE,2,"The movie is filled with humor, adventure, and a touching message about the power of friendship and the importance of overcoming fear.",Ev
random-imdb,60dc9556508486e19fc42546,1,"Monsters, Inc.",TRUE,3,"The animation is top-notch, and the voice acting is superb.",NA
random-imdb,60dc9556508486e19fc42546,1,"Monsters, Inc.",TRUE,4,"If you're looking for a fun and heartwarming movie to watch with your family or friends, Monsters, Inc. is definitely worth checking out.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,2,The Dark Knight,TRUE,0,"The Dark Knight is a must-watch movie for anyone who loves action, suspense, and drama.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,2,The Dark Knight,TRUE,1,"The film is a masterpiece in storytelling, with a gripping plot that keeps you on the edge of your seat from start to finish.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,2,The Dark Knight,TRUE,2,"The performances by the cast, especially Heath Ledger's iconic portrayal of the Joker, are outstanding and unforgettable.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,2,The Dark Knight,TRUE,3,"The movie also explores complex themes such as morality, justice, and the nature of evil.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,2,The Dark Knight,TRUE,4,"Overall, The Dark Knight is a cinematic experience that will leave you breathless and thinking long after the credits roll.",Ev
random-imdb,60dc9556508486e19fc42546,3,Dunkirk,TRUE,0,Dunkirk is a war movie that tells the story of the evacuation of Allied soldiers from the beaches of Dunkirk during World War II.,NA
random-imdb,60dc9556508486e19fc42546,3,Dunkirk,TRUE,1,"If you enjoy action-packed movies with intense and suspenseful scenes, Dunkirk is a great choice for you.",Ev
random-imdb,60dc9556508486e19fc42546,3,Dunkirk,TRUE,2,"The Italian Job and The Avengers are both action movies with heist and superhero themes, respectively, which share similarities with Dunkirk's war theme.",Sim
random-imdb,60dc9556508486e19fc42546,3,Dunkirk,TRUE,3,"The Big Short is a drama that also features intense and suspenseful scenes, which can be found in Dunkirk as well.",Sim
random-imdb,60dc9556508486e19fc42546,3,Dunkirk,TRUE,4,"On the other hand, if you disliked Training Day, I Am Legend, and Bright, which are all movies with darker themes, you may appreciate Dunkirk's focus on heroism and survival.",Comp
random-imdb,60dc9556508486e19fc42546,3,Dunkirk,TRUE,5,"Overall, Dunkirk is a well-crafted movie that offers a unique perspective on a historical event and is worth watching for anyone who enjoys action and suspense.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,4,The Last Airbender,FALSE,0,Someone with these movie preferences should not watch The Last Airbender because it has received overwhelmingly negative reviews from both critics and audiences.,Pra
gpt-3.5-turbo,60dc9556508486e19fc42546,4,The Last Airbender,FALSE,1,"It has been criticized for its poor acting, weak script, and lack of faithfulness to the source material.",NA
gpt-3.5-turbo,60dc9556508486e19fc42546,4,The Last Airbender,FALSE,2,"Additionally, the director M. Night Shyamalan has a history of making disappointing films.",Au
gpt-3.5-turbo,60dc9556508486e19fc42546,4,The Last Airbender,FALSE,3,"Given the person's dislike for movies such as Training Day, I Am Legend, and Bright, it is unlikely that they would enjoy The Last Airbender.",Cr
gpt-3.5-turbo,60dc9556508486e19fc42546,4,The Last Airbender,FALSE,4,"It is better for them to choose a movie that aligns more with their favorite movies such as The Italian Job, The Avengers, or The Big Short.",Comp
gpt-3.5-turbo,60dc9556508486e19fc42546,5,The Room,FALSE,0,"You should not watch the movie ""The Room"" because it is widely considered to be one of the worst movies ever made.",Po
gpt-3.5-turbo,60dc9556508486e19fc42546,5,The Room,FALSE,1,"The acting is terrible, the plot is nonsensical, and the production values are extremely low.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,5,The Room,FALSE,2,"While some people enjoy watching bad movies for their entertainment value, ""The Room"" is so bad that it may not even be enjoyable in that way.",Ev
gpt-3.5-turbo,60dc9556508486e19fc42546,5,The Room,FALSE,3,Save yourself the time and watch something else instead.,Pra
gpt-3.5-turbo,6120b4fca2fedeb88787374c,0,The Imitation Game,TRUE,0,"The Imitation Game is a movie that someone with these preferences should watch because it has a mix of drama, action, and suspense.",Cr
gpt-3.5-turbo,6120b4fca2fedeb88787374c,0,The Imitation Game,TRUE,1,"The movie is based on the true story of Alan Turing, a brilliant mathematician who helped crack the Nazi's Enigma code during World War II.",NA
gpt-3.5-turbo,6120b4fca2fedeb88787374c,0,The Imitation Game,TRUE,2,"The movie has a strong cast, including Benedict Cumberbatch and Keira Knightley, and has received critical acclaim for its storytelling and performances.",Au
gpt-3.5-turbo,6120b4fca2fedeb88787374c,0,The Imitation Game,TRUE,3,"If you enjoyed the historical drama of The Help and the emotional depth of Me Before You, you may appreciate the complex characters and themes in The Imitation Game.",Comp
gpt-3.5-turbo,6120b4fca2fedeb88787374c,0,The Imitation Game,TRUE,4,"Additionally, if you were disappointed by the action in Fast & Furious Presents: Hobbs & Shaw, The Imitation Game offers a different type of excitement through its high-stakes code-breaking scenes.",Comp
gpt-3.5-turbo,6120b4fca2fedeb88787374c,0,The Imitation Game,TRUE,5,"Overall, The Imitation Game is a well-crafted movie that offers something for a variety of movie preferences.",Ev
gpt-3.5-turbo,60fb1b68ff87fb94e0e721f6,4,The Last Airbender,FALSE,0,"You should not watch the movie ""The Last Airbender"" because it is widely considered to be a poorly made adaptation of the beloved animated series.",Po
gpt-3.5-turbo,60fb1b68ff87fb94e0e721f6,4,The Last Airbender,FALSE,1,"The movie fails to capture the essence of the characters and the world they inhabit, and the acting and special effects are lackluster.",Ev
gpt-3.5-turbo,60fb1b68ff87fb94e0e721f6,4,The Last Airbender,FALSE,2,Fans of the original series were disappointed by the changes made to the story and the lack of depth in the characters.,Ev
gpt-3.5-turbo,60fb1b68ff87fb94e0e721f6,4,The Last Airbender,FALSE,3,"Overall, ""The Last Airbender"" is a disappointing and forgettable film that is not worth your time.",Ev
random-imdb,6120b4fca2fedeb88787374c,3,The Thin Red Line,TRUE,0,The Thin Red Line is a war movie that tells the story of a group of soldiers during the Battle of Guadalcanal in World War II.,NA
random-imdb,6120b4fca2fedeb88787374c,3,The Thin Red Line,TRUE,1,"Although it may not seem like an obvious choice for someone who enjoys dramas and dislikes action movies, The Thin Red Line is a beautifully shot and emotionally powerful film that explores the human condition in times of war.",Ev
random-imdb,6120b4fca2fedeb88787374c,3,The Thin Red Line,TRUE,2,"The movie features a talented cast, including Sean Penn, Jim Caviezel, and Nick Nolte, and is directed by Terrence Malick, who is known for his visually stunning films.",NA
random-imdb,6120b4fca2fedeb88787374c,3,The Thin Red Line,TRUE,3,"If you are looking for a thought-provoking and visually stunning movie that explores the complexities of war and the human experience, The Thin Red Line is definitely worth watching.",Ev
gpt-3.5-turbo,6120b4fca2fedeb88787374c,4,Transformers: Age of Extinction,FALSE,0,I would not recommend watching Transformers: Age of Extinction because it received negative reviews from both critics and audiences.,Au
gpt-3.5-turbo,6120b4fca2fedeb88787374c,4,Transformers: Age of Extinction,FALSE,1,"The movie is known for its convoluted plot, excessive runtime, and lack of character development.",NA
gpt-3.5-turbo,6120b4fca2fedeb88787374c,4,Transformers: Age of Extinction,FALSE,2,"Additionally, the film relies heavily on special effects and action sequences, which can become tiresome and repetitive.",NA
gpt-3.5-turbo,6120b4fca2fedeb88787374c,4,Transformers: Age of Extinction,FALSE,3,"Overall, there are better options for action and sci-fi movies that offer more engaging storytelling and character development.",Comp
gpt-3.5-turbo,6120b4fca2fedeb88787374c,5,The Last Airbender,FALSE,0,"Someone with these movie preferences should not watch the movie ""The Last Airbender"" because it has received overwhelmingly negative reviews from both critics and audiences.",Po
gpt-3.5-turbo,6120b4fca2fedeb88787374c,5,The Last Airbender,FALSE,1,"Additionally, it has been criticized for its poor acting, weak storyline, and lack of faithfulness to the source material.",Po
gpt-3.5-turbo,6120b4fca2fedeb88787374c,5,The Last Airbender,FALSE,2,"Given that the person dislikes movies such as ""Jumping the Broom"" and ""The King's Case Note,"" which have also received negative reviews, it is likely that they would not enjoy ""The Last Airbender"" either.",Sim
gpt-3.5-turbo,6120b4fca2fedeb88787374c,5,The Last Airbender,FALSE,3,"Instead, they may enjoy movies with strong storylines and well-developed characters, such as ""The Help"" and ""Me Before You,"" or action-packed thrillers like ""Taken 2.""",Comp
gpt-3.5-turbo,6139d11e12004b36e50206d1,0,La La Land,TRUE,0,La La Land is a musical movie that tells the story of a jazz pianist and an aspiring actress who fall in love while pursuing their dreams in Los Angeles.,NA
gpt-3.5-turbo,6139d11e12004b36e50206d1,0,La La Land,TRUE,1,"If you enjoyed Dreamgirls, which is also a musical drama, you may appreciate the music and performances in La La Land.",Sim
gpt-3.5-turbo,6139d11e12004b36e50206d1,0,La La Land,TRUE,2,"Additionally, if you liked Avengers: Endgame, which is an epic and emotional movie, you may appreciate the grandeur and emotional depth of La La Land.",Sim
gpt-3.5-turbo,6139d11e12004b36e50206d1,0,La La Land,TRUE,3,"On the other hand, if you disliked Avatar and Avatar: The Last Airbender - The Legend So Far, which are both fantasy movies, you may appreciate the grounded and realistic setting of La La Land.",Sim
gpt-3.5-turbo,6139d11e12004b36e50206d1,0,La La Land,TRUE,4,"Overall, La La Land is a visually stunning and emotionally engaging movie that may appeal to your taste in music, drama, and epic storytelling.",Ev
gpt-3.5-turbo,6139d11e12004b36e50206d1,1,The Hunger Games,TRUE,0,"The Hunger Games is a thrilling and thought-provoking movie that explores themes of survival, sacrifice, and rebellion.",NA
gpt-3.5-turbo,6139d11e12004b36e50206d1,1,The Hunger Games,TRUE,1,"Set in a dystopian future where children are forced to fight to the death in a televised competition, the movie follows the journey of Katniss Everdeen as she navigates the treacherous world of the Hunger Games.",NA
gpt-3.5-turbo,6139d11e12004b36e50206d1,1,The Hunger Games,TRUE,2,"With a talented cast, stunning visuals, and a gripping storyline, The Hunger Games is a must-watch for anyone who enjoys action, adventure, and dystopian fiction.",Ev
gpt-3.5-turbo,6139d11e12004b36e50206d1,1,The Hunger Games,TRUE,3,"Whether you're a fan of the book series or just looking for a thrilling movie to watch, The Hunger Games is sure to keep you on the edge of your seat from start to finish.",Ev
random-imdb,6139d11e12004b36e50206d1,2,Unforgiven,TRUE,0,"If you're a fan of westerns, then Unforgiven is a must-watch.",Ev
random-imdb,6139d11e12004b36e50206d1,2,Unforgiven,TRUE,1,This movie is a masterpiece that explores the dark side of the Wild West and the consequences of violence.,Ev
random-imdb,6139d11e12004b36e50206d1,2,Unforgiven,TRUE,2,The story follows an aging gunslinger who takes one last job to earn some money.,NA
random-imdb,6139d11e12004b36e50206d1,2,Unforgiven,TRUE,3,"However, things don't go as planned, and he finds himself facing his past and the demons that come with it.",NA
random-imdb,6139d11e12004b36e50206d1,2,Unforgiven,TRUE,4,"Unforgiven is a gritty and realistic portrayal of the Old West, with outstanding performances from Clint Eastwood, Gene Hackman, and Morgan Freeman.",Ev
random-imdb,6139d11e12004b36e50206d1,2,Unforgiven,TRUE,5,It's a movie that will keep you on the edge of your seat until the very end.,Ev
random-imdb,6139d11e12004b36e50206d1,3,Moana,TRUE,0,Moana is a great movie for someone who enjoys movies with strong female leads and epic adventures.,Ev
random-imdb,6139d11e12004b36e50206d1,3,Moana,TRUE,1,The movie tells the story of a young girl who sets out on a journey to save her people and discovers her own identity along the way.,NA
random-imdb,6139d11e12004b36e50206d1,3,Moana,TRUE,2,"The themes of self-discovery and empowerment are similar to those found in Divergent, while the epic adventure aspect is similar to Avengers: Endgame.",Sim
random-imdb,6139d11e12004b36e50206d1,3,Moana,TRUE,3,"Additionally, Moana has a unique and vibrant setting inspired by Polynesian culture, which may be a refreshing change of pace from the sci-fi and superhero genres.",Ev
random-imdb,6139d11e12004b36e50206d1,3,Moana,TRUE,4,"Overall, Moana is a great choice for someone who enjoys movies with strong themes of self-discovery and empowerment, epic adventures, and unique settings.",Ev
gpt-3.5-turbo,6139d11e12004b36e50206d1,4,The Last Airbender,FALSE,0,"Someone with these movie preferences should not watch the movie ""The Last Airbender"" because it was one of the movies that the person really disliked or hated.",Ev
gpt-3.5-turbo,6139d11e12004b36e50206d1,4,The Last Airbender,FALSE,1,"If the person did not enjoy ""Avatar: The Last Airbender - The Legend So Far,"" it is likely that they will not enjoy the live-action adaptation of the animated series.",Sim
gpt-3.5-turbo,6139d11e12004b36e50206d1,4,The Last Airbender,FALSE,2,"Additionally, if the person did not like ""Avatar,"" which is a science fiction movie, they may not enjoy ""The Last Airbender,"" which is also a fantasy movie.",Sim
gpt-3.5-turbo,6139d11e12004b36e50206d1,4,The Last Airbender,FALSE,3,"Therefore, it is best for the person to avoid watching ""The Last Airbender"" to avoid any potential disappointment or frustration.",Pra
gpt-3.5-turbo,6139d11e12004b36e50206d1,5,Star Wars: The Rise of Skywalker,FALSE,0,The movie Star Wars: The Rise of Skywalker received mixed reviews from both fans and critics.,NA
gpt-3.5-turbo,6139d11e12004b36e50206d1,5,Star Wars: The Rise of Skywalker,FALSE,1,"Some viewers found the plot confusing and rushed, while others felt that it relied too heavily on nostalgia and fan service.",NA
gpt-3.5-turbo,6139d11e12004b36e50206d1,5,Star Wars: The Rise of Skywalker,FALSE,2,"Additionally, some of the character arcs and plot points from previous films were either ignored or resolved in unsatisfying ways.",NA
gpt-3.5-turbo,6139d11e12004b36e50206d1,5,Star Wars: The Rise of Skywalker,FALSE,3,"Overall, if you are a die-hard Star Wars fan, you may still enjoy the movie, but if you are looking for a well-crafted and satisfying conclusion to the Skywalker saga, you may want to skip this one.",Ev
gpt-3.5-turbo,614ef63373aaba7d1af498d3,4,The Last Airbender,FALSE,0,"You should not watch the movie ""The Last Airbender"" because it is widely considered to be a poorly made adaptation of the beloved animated series.",Po
gpt-3.5-turbo,614ef63373aaba7d1af498d3,4,The Last Airbender,FALSE,1,"The movie fails to capture the essence of the characters and the world they inhabit, and the acting and special effects are lackluster.",Ev
gpt-3.5-turbo,614ef63373aaba7d1af498d3,4,The Last Airbender,FALSE,2,Fans of the original series were disappointed by the changes made to the story and the lack of depth in the characters.,Ev
gpt-3.5-turbo,614ef63373aaba7d1af498d3,4,The Last Airbender,FALSE,3,"Overall, ""The Last Airbender"" is a disappointing and forgettable film that does not do justice to the source material.",Ev
random-imdb,63d3f9beaad133b63033f4b0,0,Touch of Evil,TRUE,0,"The movie ""Touch of Evil"" is a classic film noir that tells the story of a corrupt police officer investigating a murder case in a border town.",NA
random-imdb,63d3f9beaad133b63033f4b0,0,Touch of Evil,TRUE,1,"If you enjoy movies with complex characters and intricate plot twists, this movie is definitely worth watching.",Ev
random-imdb,63d3f9beaad133b63033f4b0,0,Touch of Evil,TRUE,2,"Although it may not have the same fast-paced action as ""The Fast and the Furious,"" it shares a similar theme of crime and corruption.",Comp
random-imdb,63d3f9beaad133b63033f4b0,0,Touch of Evil,TRUE,3,"Additionally, if you enjoyed ""The Shawshank Redemption,"" you may appreciate the film's exploration of morality and justice.",Sim
random-imdb,63d3f9beaad133b63033f4b0,0,Touch of Evil,TRUE,4,"While ""Avatar,"" ""Shrek,"" and ""Shrek 2"" are all very different movies, ""Touch of Evil"" offers a unique and engaging viewing experience that is sure to captivate any fan of the crime genre.",Ev
random-imdb,5cd5419ba9a8c40019639382,0,The Nightmare Before Christmas,TRUE,0,The Nightmare Before Christmas is a great movie for someone who enjoys visually stunning films with unique storytelling.,Ev
random-imdb,5cd5419ba9a8c40019639382,0,The Nightmare Before Christmas,TRUE,1,"The movie is a stop-motion animation musical that tells the story of Jack Skellington, the Pumpkin King of Halloween Town, who discovers Christmas Town and decides to take over the holiday.",NA
random-imdb,5cd5419ba9a8c40019639382,0,The Nightmare Before Christmas,TRUE,2,"The movie has a dark and whimsical tone, similar to the movies My Own Private Idaho and The Grand Budapest Hotel, which were mentioned as favorites.",Sim
random-imdb,5cd5419ba9a8c40019639382,0,The Nightmare Before Christmas,TRUE,3,"Additionally, The Nightmare Before Christmas has a strong musical component, which is also present in Moulin Rouge!, another favorite movie.",Sim
random-imdb,5cd5419ba9a8c40019639382,0,The Nightmare Before Christmas,TRUE,4,"While the movies disliked by the person are not necessarily similar to The Nightmare Before Christmas, the fact that they have a strong preference for visually stunning and unique movies makes this movie a great recommendation.",Ev
